t_h,price_yuan_per_kwh,load_kw,pv_kw,g_kwh,c_kwh,d_kwh,w_kwh
8.333333,1.095600,5748.071300,3890.733200,0.000000,0.000000,309.556350,0.000000
8.500000,1.084900,5769.058100,4181.341700,0.000000,0.000000,264.619400,0.000000
8.666667,1.061000,5754.210500,4471.765700,0.000000,0.000000,213.740800,0.000000
8.833333,1.043000,5824.180700,4752.827200,0.000000,0.000000,178.558917,0.000000
9.000000,1.036000,5954.260100,5021.907400,0.000000,0.000000,155.392117,0.000000
9.166667,1.014700,5958.969600,5285.412600,0.000000,0.000000,112.259500,0.000000
9.333333,0.992200,5929.555400,5543.174200,0.000000,0.000000,64.396867,0.000000
9.500000,0.970000,5923.782800,5788.409300,0.000000,0.000000,22.562250,0.000000
9.666667,0.942200,5907.586000,6012.130400,0.000000,17.424067,0.000000,0.000000
9.833333,0.956900,5899.126200,6216.152800,0.000000,52.837767,0.000000,0.000000
10.000000,0.997700,5902.219600,6409.594100,0.000000,84.562417,0.000000,0.000000
10.166667,0.991900,5897.479300,6599.380800,0.000000,116.983583,0.000000,0.000000
10.333333,0.958800,5886.756800,6766.720400,0.000000,146.660600,0.000000,0.000000
10.500000,0.954900,5873.470800,6914.592300,0.000000,173.520250,0.000000,0.000000
10.666667,0.983900,5858.030800,7064.205300,0.000000,201.029083,0.000000,0.000000
10.833333,0.799000,5844.994800,7197.431500,0.000000,225.406117,0.000000,0.000000
11.000000,0.502500,5839.058700,7303.114200,0.000000,244.009250,0.000000,0.000000
11.166667,0.466200,5838.710300,7387.684800,575.170917,833.333333,0.000000,0.000000
11.333333,0.500700,5823.437800,7459.227000,0.000000,272.631533,0.000000,0.000000
11.500000,0.482700,5814.793200,7520.719100,0.000000,284.320983,0.000000,0.000000
11.666667,0.478500,5832.395100,7568.203900,179.277171,468.578638,0.000000,0.000000
11.833333,0.466200,5712.901000,7592.153900,520.124517,833.333333,0.000000,0.000000
12.000000,0.443200,5519.460700,7601.043300,486.402900,833.333333,0.000000,0.000000
12.166667,0.441100,5494.790700,7612.316000,480.412450,833.333333,0.000000,0.000000
12.333333,0.455100,5514.452400,7602.652400,485.300000,833.333333,0.000000,0.000000
12.500000,0.446300,5485.829000,7554.187200,488.606967,833.333333,0.000000,0.000000
12.666667,0.411300,5462.362800,7472.738400,498.270733,833.333333,0.000000,0.000000
12.833333,0.568200,5566.106600,7393.417200,0.000000,304.551767,0.000000,0.000000
13.000000,0.827900,5725.754800,7312.797900,0.000000,264.507183,0.000000,0.000000
13.166667,0.863600,5739.495700,7194.541000,0.000000,242.507550,0.000000,0.000000
13.333333,0.841600,5714.683600,7053.137100,0.000000,223.075583,0.000000,0.000000
13.500000,0.861800,5717.850500,6910.406400,0.000000,198.759317,0.000000,0.000000
13.666667,0.862300,5708.248600,6772.407500,0.000000,177.359817,0.000000,0.000000
13.833333,0.902600,5696.918200,6607.360000,0.000000,151.740300,0.000000,0.000000
14.000000,0.975400,5692.298300,6412.508500,0.000000,120.035033,0.000000,0.000000
14.166667,1.000200,5687.129100,6214.015800,0.000000,87.814450,0.000000,0.000000
14.333333,0.997800,5678.962000,6000.711200,0.000000,53.624867,0.000000,0.000000
14.500000,1.027100,5669.450800,5766.981600,0.000000,16.255133,0.000000,0.000000
14.666667,1.090600,5664.194800,5521.506600,0.000000,0.000000,23.781367,0.000000
14.833333,0.937600,5672.701100,5268.781000,0.000000,0.000000,67.320017,0.000000
15.000000,0.669400,5682.254400,5009.715200,112.089867,0.000000,0.000000,0.000000
15.166667,0.660000,5669.019500,4743.448400,266.732694,112.470844,0.000000,0.000000
15.333333,0.721700,5656.365100,4471.224000,197.523517,0.000000,0.000000,0.000000
15.500000,0.730800,5657.086700,4188.202500,244.814033,0.000000,0.000000,0.000000
15.666667,0.753400,5662.600800,3889.393100,295.534617,0.000000,0.000000,0.000000
15.833333,0.782300,5669.259600,3594.594600,345.777500,0.000000,0.000000,0.000000
16.000000,0.805500,5673.476700,3303.887800,394.931483,0.000000,0.000000,0.000000
16.166667,0.827100,5671.014600,2998.424700,445.431650,0.000000,-0.000000,0.000000
16.333333,0.851900,5661.592600,2687.413100,495.696583,0.000000,-0.000000,0.000000
16.500000,0.879100,5665.892200,2383.177900,547.119050,0.000000,-0.000000,0.000000
16.666667,0.902400,5689.037200,2089.124600,599.985433,0.000000,0.000000,0.000000
16.833333,0.916300,5603.661400,1791.082900,635.429750,0.000000,0.000000,0.000000
17.000000,0.926400,5466.712400,1501.728300,660.830683,0.000000,-0.000000,0.000000
17.166667,0.946200,5467.393900,1255.172300,702.036933,0.000000,-0.000000,0.000000
17.333333,0.974200,5464.727000,1036.332300,738.065783,0.000000,-0.000000,0.000000
17.500000,0.986200,5492.445800,836.777500,775.944717,0.000000,-0.000000,0.000000
17.666667,0.976000,5621.730800,665.231300,826.083250,0.000000,0.000000,0.000000
17.833333,1.074200,5091.212600,516.675800,762.422800,0.000000,-0.000000,0.000000
18.000000,1.231300,4208.568800,386.673100,636.982617,0.000000,-0.000000,0.000000
18.166667,1.256100,4122.761100,275.793300,531.894050,0.000000,109.267250,0.000000
18.333333,1.244700,4255.935800,182.952600,678.830533,0.000000,0.000000,0.000000
18.500000,1.254500,4225.952400,108.341400,686.268500,0.000000,0.000000,0.000000
18.666667,1.252200,4233.338400,54.312100,696.504383,0.000000,0.000000,0.000000
18.833333,1.288100,4246.462500,18.656900,0.000000,0.000000,704.634267,0.000000
19.000000,1.346600,4239.179500,0.275300,0.000000,0.000000,706.484033,0.000000
19.166667,1.352300,4244.668400,0.229600,0.000000,0.000000,707.406467,0.000000
19.333333,1.344500,4251.918700,0.600700,0.000000,0.000000,708.553000,0.000000
19.500000,1.348300,4256.681300,0.000000,0.000000,0.000000,709.446883,0.000000
19.666667,1.349000,4267.394700,0.000000,0.000000,0.000000,711.232450,0.000000
19.833333,1.347300,4269.975000,0.000000,0.000000,0.000000,711.662500,0.000000
20.000000,1.348200,4268.670200,0.000000,0.000000,0.000000,711.445033,0.000000
20.166667,1.351300,4282.224500,0.000000,0.000000,0.000000,713.704083,0.000000
20.333333,1.340000,4291.704900,0.000000,0.000000,0.000000,715.284150,0.000000
20.500000,1.348900,4291.361100,0.000000,0.000000,0.000000,715.226850,0.000000
20.666667,1.395200,4293.918200,0.000000,0.000000,0.000000,715.653033,0.000000
20.833333,1.222600,4295.213500,0.000000,715.868917,0.000000,-0.000000,0.000000
21.000000,0.933200,4302.030700,0.000000,717.005117,0.000000,0.000000,0.000000
21.166667,0.906800,4320.961800,0.000000,720.160300,0.000000,0.000000,0.000000
21.333333,0.937100,4302.329200,0.000000,717.054867,0.000000,0.000000,0.000000
21.500000,0.937100,4322.675800,0.000000,720.445967,0.000000,0.000000,0.000000
21.666667,0.987100,4428.808300,0.000000,738.134717,0.000000,-0.000000,0.000000
21.833333,0.776400,4030.161400,0.000000,671.693567,0.000000,-0.000000,0.000000
22.000000,0.420900,3362.741900,0.000000,1393.790317,833.333333,0.000000,0.000000
22.166667,0.385900,3309.393400,0.000000,1384.898900,833.333333,0.000000,0.000000
22.333333,0.436800,3412.956300,0.000000,568.826050,0.000000,0.000000,0.000000
22.500000,0.419800,3381.931300,0.000000,1396.988550,833.333333,0.000000,0.000000
22.666667,0.418600,3386.559200,0.000000,1397.759867,833.333333,0.000000,0.000000
22.833333,0.424100,3400.484600,0.000000,566.747433,0.000000,0.000000,0.000000
23.000000,0.423700,3399.242600,0.000000,1399.873767,833.333333,0.000000,0.000000
23.166667,0.424800,3406.980900,0.000000,567.830150,0.000000,0.000000,0.000000
23.333333,0.424000,3416.151800,0.000000,902.691967,333.333333,0.000000,0.000000
23.500000,0.422000,3421.981100,0.000000,1403.663517,833.333333,0.000000,0.000000
23.666667,0.424000,3429.692300,0.000000,571.615383,0.000000,0.000000,0.000000
23.833333,0.427100,3439.061000,0.000000,573.176833,0.000000,0.000000,0.000000
24.000000,0.427600,3444.725900,0.000000,574.120983,0.000000,0.000000,0.000000
